Freq.	V(out)
3.58000000000000e+07	(-9.98030634659000e+01dB,1.36968042326974e+02°)
3.60000000000000e+07	(-9.90907862448749e+01dB,9.53697612574095e+01°)
3.62000000000000e+07	(-9.48361141556750e+01dB,1.04713636511331e+02°)
3.64000000000000e+07	(-9.66170553058092e+01dB,4.37134488698041e+01°)
3.66000000000000e+07	(-9.57382086431359e+01dB,7.89517629101810e+01°)
3.68000000000000e+07	(-1.10579242622553e+02dB,1.23206583398017e+02°)
3.70000000000000e+07	(-9.75305375627696e+01dB,1.17222166498098e+02°)
3.72000000000000e+07	(-1.11950436286291e+02dB,5.95770048819012e+00°)
3.74000000000000e+07	(-9.40342910740006e+01dB,9.46143829058528e+01°)
3.76000000000000e+07	(-9.82771290561415e+01dB,6.40715629977675e+01°)
3.78000000000000e+07	(-1.01275972195726e+02dB,8.59041355438883e+01°)
3.80000000000000e+07	(-9.92862000953252e+01dB,7.30361685455587e+01°)
3.82000000000000e+07	(-9.65232366964224e+01dB,1.06398024745060e+02°)
3.84000000000000e+07	(-9.97105411317416e+01dB,1.18946438297598e+02°)
3.86000000000000e+07	(-1.06080505407114e+02dB,3.85365890766945e+01°)
3.88000000000000e+07	(-1.02156901761061e+02dB,1.15557626650648e+02°)
3.90000000000000e+07	(-9.76622074341993e+01dB,7.30467871744524e+01°)
3.92000000000000e+07	(-9.89633021503962e+01dB,4.19756339780065e+01°)
3.94000000000000e+07	(-9.51253920354156e+01dB,9.10596369299381e+01°)
3.96000000000000e+07	(-9.88379294442646e+01dB,8.21311249979703e+01°)
3.98000000000000e+07	(-9.68358806660601e+01dB,1.34597158732953e+02°)
4.00000000000000e+07	(-1.00906415138969e+02dB,8.45238422918352e+01°)
4.02000000000000e+07	(-9.71528094389842e+01dB,6.75489525951654e+01°)
4.04000000000000e+07	(-9.49463871541874e+01dB,1.01181709623736e+02°)
4.06000000000000e+07	(-1.05588797634507e+02dB,1.24297436964084e+02°)
4.08000000000000e+07	(-9.75426599343282e+01dB,1.19492916076429e+02°)
4.10000000000000e+07	(-1.01328635408716e+02dB,9.60249094837286e+01°)
4.12000000000000e+07	(-9.96561798199627e+01dB,5.22777596099139e+01°)
4.14000000000000e+07	(-9.75551933066757e+01dB,1.35611794871161e+02°)
4.16000000000000e+07	(-9.35852035128788e+01dB,9.57428478265613e+01°)
4.18000000000000e+07	(-9.60004342958377e+01dB,7.12527711951089e+01°)
4.20000000000000e+07	(-1.04327798617217e+02dB,7.79907737538905e+01°)
4.22000000000000e+07	(-9.93252042140858e+01dB,1.07490760873640e+02°)
4.24000000000000e+07	(-9.90351743294225e+01dB,8.69112802492973e+01°)
4.26000000000000e+07	(-1.08249386620496e+02dB,1.38831790013493e+02°)
4.28000000000000e+07	(-1.11156621214648e+02dB,-1.45880994246285e+02°)
4.30000000000000e+07	(-1.04853664161261e+02dB,-6.23928523767132e+01°)
4.32000000000000e+07	(-9.62181508402989e+01dB,2.09445273380653e+01°)
4.34000000000000e+07	(-1.03884852076658e+02dB,7.94232304566178e+01°)
4.36000000000000e+07	(-1.00525897485771e+02dB,1.58700062721498e+02°)
4.38000000000000e+07	(-1.01598683012254e+02dB,-5.14238159032485e+01°)
4.40000000000000e+07	(-9.95082631527076e+01dB,6.31060025773182e+01°)
4.42000000000000e+07	(-1.13232767011613e+02dB,-9.59734030350007e+00°)
4.44000000000000e+07	(-9.58296337771518e+01dB,2.64747119068120e+01°)
4.46000000000000e+07	(-9.21881680307732e+01dB,6.81391543710590e+01°)
4.48000000000000e+07	(-9.75506059201201e+01dB,1.31285498459041e+02°)
4.50000000000000e+07	(-1.11708148357859e+02dB,-2.12642610851866e+00°)
4.52000000000000e+07	(-1.03485049862706e+02dB,1.67750550020036e+01°)
4.54000000000000e+07	(-1.02268906632194e+02dB,2.11164536848023e+01°)
