Freq.	V(out)
3.86000000000000e+07	(-8.05568225112869e+01dB,-4.04730902078892e+01°)
3.88000000000000e+07	(-8.20571300872270e+01dB,1.60256651824033e+02°)
3.90000000000000e+07	(-8.51822111814613e+01dB,6.19091887403433e+00°)
3.92000000000000e+07	(-9.75260514787864e+01dB,9.79035048861608e+01°)
3.94000000000000e+07	(-8.43917432072031e+01dB,-1.35755051967091e+02°)
3.96000000000000e+07	(-8.48863160806540e+01dB,7.65410301485336e+01°)
3.98000000000000e+07	(-8.42052887693329e+01dB,-4.42697860130018e+01°)
4.00000000000000e+07	(-9.03477825935105e+01dB,1.77145990543796e+02°)
4.02000000000000e+07	(-9.04675592215142e+01dB,7.41316568201393e+01°)
4.04000000000000e+07	(-8.27504124091612e+01dB,-1.47410077670583e+02°)
4.06000000000000e+07	(-7.81194602950458e+01dB,3.27970738659846e+01°)
4.08000000000000e+07	(-7.76040947886681e+01dB,-1.25443042499443e+02°)
4.10000000000000e+07	(-7.77167488090211e+01dB,6.86892160265791e+01°)
4.12000000000000e+07	(-7.95086038396129e+01dB,-1.20630111675143e+02°)
4.14000000000000e+07	(-8.14360082513834e+01dB,4.27254509056961e+01°)
4.16000000000000e+07	(-8.24379953934693e+01dB,-1.25858901992603e+02°)
4.18000000000000e+07	(-8.62047590667483e+01dB,7.04864697209897e+01°)
4.20000000000000e+07	(-9.09154980782548e+01dB,1.21548378278189e+02°)
4.22000000000000e+07	(-8.29315519818112e+01dB,-6.44435056356884e+01°)
4.24000000000000e+07	(-8.51070284035923e+01dB,1.30567020029295e+02°)
4.26000000000000e+07	(-8.51775154806940e+01dB,-4.79596743530483e+01°)
4.28000000000000e+07	(-8.13194976448213e+01dB,1.16873793215510e+02°)
4.30000000000000e+07	(-8.16300049615350e+01dB,-6.37523028433185e+01°)
4.32000000000000e+07	(-8.73481731103149e+01dB,1.42839734165699e+02°)
4.34000000000000e+07	(-9.71821282119176e+01dB,2.13838968184601e+01°)
4.36000000000000e+07	(-8.97653777903407e+01dB,7.24374570847903e+00°)
4.38000000000000e+07	(-8.55765151410308e+01dB,-1.69320559505244e+02°)
4.40000000000000e+07	(-8.72364753147280e+01dB,-2.37524237008121e+01°)
4.42000000000000e+07	(-8.21894643422575e+01dB,1.33251837202983e+02°)
4.44000000000000e+07	(-7.87952562718644e+01dB,-4.11164767184068e+01°)
4.46000000000000e+07	(-7.91337235670808e+01dB,1.37217562698051e+02°)
4.48000000000000e+07	(-8.11066720715024e+01dB,-5.73551544551739e+01°)
4.50000000000000e+07	(-8.14077392355499e+01dB,1.12613721661750e+02°)
4.52000000000000e+07	(-8.21328318060074e+01dB,-7.15818477532124e+01°)
4.54000000000000e+07	(-8.57350201431201e+01dB,6.69383281691818e+01°)
4.56000000000000e+07	(-8.01740585499509e+01dB,-1.66817745843836e+02°)
4.58000000000000e+07	(-7.71729014279079e+01dB,1.52446602624663e+01°)
4.60000000000000e+07	(-7.82725334743218e+01dB,-1.50903556107538e+02°)
4.62000000000000e+07	(-8.15240831118463e+01dB,2.91873864047429e+01°)
4.64000000000000e+07	(-8.40634811798051e+01dB,-1.76889857610236e+02°)
4.66000000000000e+07	(-8.84217627225583e+01dB,-1.97477504065785e+01°)
4.68000000000000e+07	(-9.28295037798360e+01dB,7.38143358634169e+01°)
4.70000000000000e+07	(-8.47632539036539e+01dB,-1.22688750861257e+02°)
4.72000000000000e+07	(-8.14737138218140e+01dB,5.63880114745413e+01°)
4.74000000000000e+07	(-8.24681171223811e+01dB,-1.34598133375563e+02°)
